ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002594.SZ,20251231,99.98,100.2,97.38,97.72,99.75,-2.03,-2.0351,402858.87,3955310.311
002594.SZ,20251230,99.26,100.15,98.74,99.75,100.21,-0.46,-0.459,318756.38,3174697.986
002594.SZ,20251229,100.5,101.3,99.6,100.21,100.01,0.2,0.2,519166.96,5209488.142
002594.SZ,20251226,95.28,101.45,95.25,100.01,94.84,5.17,5.4513,1020958.95,10178557.962
002594.SZ,20251225,94.43,95.23,94.12,94.84,94.42,0.42,0.4448,182201.63,1725723.851
002594.SZ,20251224,94.8,94.8,94.05,94.42,94.81,-0.39,-0.4113,192809.95,1819358.259
002594.SZ,20251223,94.5,95.5,94.5,94.81,94.37,0.44,0.4662,236617.41,2247679.864
002594.SZ,20251222,94.7,95.36,94.25,94.37,94.23,0.14,0.1486,206234.82,1952361.858
002594.SZ,20251219,94.0,95.27,93.73,94.23,93.53,0.7,0.7484,272067.94,2573037.718
002594.SZ,20251218,94.39,94.6,93.5,93.53,95.21,-1.68,-1.7645,252797.34,2376126.962
002594.SZ,20251217,94.5,95.7,93.68,95.21,94.25,0.96,1.0186,272825.0,2584139.145
002594.SZ,20251216,95.5,95.7,94.14,94.25,95.53,-1.28,-1.3399,258767.71,2450336.536
002594.SZ,20251215,96.55,97.16,95.53,95.53,97.0,-1.47,-1.5155,293300.99,2824248.327
002594.SZ,20251212,96.2,97.7,95.65,97.0,96.23,0.77,0.8002,554620.88,5390456.375
002594.SZ,20251211,96.98,97.12,95.85,96.23,96.47,-0.24,-0.2488,250907.67,2422448.208
002594.SZ,20251210,95.6,96.65,94.9,96.47,96.03,0.44,0.4582,198402.24,1902988.18
002594.SZ,20251209,96.21,96.66,95.7,96.03,96.53,-0.5,-0.518,163227.02,1568057.388
002594.SZ,20251208,96.21,97.15,96.21,96.53,95.98,0.55,0.573,247804.98,2397261.754
002594.SZ,20251205,95.29,96.22,94.71,95.98,95.24,0.74,0.777,211618.47,2021250.209
002594.SZ,20251204,94.92,95.29,94.2,95.24,95.05,0.19,0.1999,166141.64,1576759.405
002594.SZ,20251203,96.64,96.65,94.89,95.05,96.62,-1.57,-1.6249,231572.84,2207429.346
002594.SZ,20251202,96.42,97.8,96.25,96.62,95.77,0.85,0.8875,359217.46,3483571.735
002594.SZ,20251201,95.39,96.3,95.14,95.77,95.17,0.6,0.6305,233712.72,2237016.414
002594.SZ,20251128,94.6,95.23,94.2,95.17,94.29,0.88,0.9333,219350.62,2080615.71
002594.SZ,20251127,94.6,95.16,94.22,94.29,95.09,-0.8,-0.8413,202279.96,1915349.541
002594.SZ,20251126,94.75,95.44,94.45,95.09,93.91,1.18,1.2565,306576.97,2914626.393
002594.SZ,20251125,94.0,95.38,93.7,93.91,93.93,-0.02,-0.0213,277488.87,2620855.758
002594.SZ,20251124,93.1,94.41,92.2,93.93,92.7,1.23,1.3269,327302.13,3064736.739
002594.SZ,20251121,92.49,94.39,91.7,92.7,93.61,-0.91,-0.9721,451713.13,4182916.493
002594.SZ,20251120,95.17,95.5,93.5,93.61,95.17,-1.56,-1.6392,391810.87,3692348.085
002594.SZ,20251119,96.4,96.66,95.01,95.17,96.49,-1.32,-1.368,348292.35,3327809.284
002594.SZ,20251118,97.54,97.85,96.02,96.49,98.08,-1.59,-1.6211,304756.45,2949162.765
002594.SZ,20251117,97.8,98.59,97.25,98.08,98.37,-0.29,-0.2948,207247.59,2029207.779
002594.SZ,20251114,99.0,100.5,98.33,98.37,99.83,-1.46,-1.4625,342984.66,3396134.916
002594.SZ,20251113,97.01,100.5,97.01,99.83,97.77,2.06,2.107,579990.22,5759429.264
002594.SZ,20251112,98.8,98.99,97.54,97.77,98.71,-0.94,-0.9523,260643.35,2555847.684
002594.SZ,20251111,99.5,99.78,98.14,98.71,99.39,-0.68,-0.6842,319857.88,3161124.11
002594.SZ,20251110,97.35,100.35,97.35,99.39,97.2,2.19,2.2531,554876.9,5513238.813
002594.SZ,20251107,97.0,98.15,96.83,97.2,97.52,-0.32,-0.3281,322560.73,3145817.991
002594.SZ,20251106,95.58,97.75,95.4,97.52,95.8,1.72,1.7954,402003.67,3897723.836
002594.SZ,20251105,96.66,96.66,94.73,95.8,97.8,-2.0,-2.045,587215.1,5617215.879
002594.SZ,20251104,99.0,99.54,97.71,97.8,99.6,-1.8,-1.8072,435017.04,4274197.474
002594.SZ,20251103,100.79,100.99,98.5,99.6,100.79,-1.19,-1.1807,551670.21,5472679.665
002594.SZ,20251031,101.0,101.32,100.0,100.79,103.61,-2.82,-2.7217,637052.59,6418551.106
002594.SZ,20251030,104.0,104.86,103.5,103.61,104.52,-0.91,-0.8706,358989.45,3733925.603
002594.SZ,20251029,103.73,105.18,103.0,104.52,103.72,0.8,0.7713,397340.4,4128608.369
002594.SZ,20251028,104.02,104.32,103.5,103.72,104.01,-0.29,-0.2788,265415.83,2755526.047
002594.SZ,20251027,104.0,104.97,103.88,104.01,103.76,0.25,0.2409,345987.84,3607756.848
002594.SZ,20251024,103.98,104.37,103.61,103.76,103.69,0.07,0.0675,305542.68,3173964.302
002594.SZ,20251023,103.3,103.73,102.0,103.69,103.78,-0.09,-0.0867,378603.42,3889661.811
002594.SZ,20251022,104.1,104.32,103.37,103.78,104.76,-0.98,-0.9355,357874.19,3715302.136
002594.SZ,20251021,104.69,105.07,104.24,104.76,104.52,0.24,0.2296,299074.19,3133789.475
002594.SZ,20251020,105.22,105.63,104.08,104.52,104.43,0.09,0.0862,355614.52,3721699.722
002594.SZ,20251017,106.6,106.63,104.26,104.43,106.96,-2.53,-2.3654,625724.94,6576614.911
002594.SZ,20251016,107.0,109.3,106.51,106.96,107.1,-0.14,-0.1307,523096.38,5628738.804
002594.SZ,20251015,106.45,107.51,105.5,107.1,105.99,1.11,1.0473,475791.33,5063179.652
002594.SZ,20251014,106.68,109.36,105.62,105.99,105.69,0.3,0.2838,767786.27,8244228.529
002594.SZ,20251013,105.0,105.98,104.1,105.69,107.79,-2.1,-1.9482,744429.8,7841774.365
002594.SZ,20251010,110.55,110.55,107.58,107.79,110.6,-2.81,-2.5407,590102.53,6420415.513
002594.SZ,20251009,108.67,112.48,108.07,110.6,109.21,1.39,1.2728,1008721.97,11196004.667
002594.SZ,20250930,108.19,109.98,107.76,109.21,108.61,0.6,0.5524,567755.5,6200518.75
002594.SZ,20250929,107.0,109.14,106.39,108.61,107.29,1.32,1.2303,613983.68,6621874.267
002594.SZ,20250926,107.45,111.23,107.0,107.29,107.5,-0.21,-0.1953,756612.07,8250492.997
002594.SZ,20250925,105.34,108.8,104.87,107.5,105.71,1.79,1.6933,693482.04,7421942.405
002594.SZ,20250924,105.0,105.83,104.0,105.71,105.6,0.11,0.1042,548162.27,5758922.305
002594.SZ,20250923,107.45,107.69,104.64,105.6,107.99,-2.39,-2.2132,650962.62,6888232.046
002594.SZ,20250922,108.87,108.91,107.15,107.99,109.09,-1.1,-1.0083,491559.23,5293961.578
002594.SZ,20250919,109.8,110.8,109.0,109.09,109.71,-0.62,-0.5651,472977.48,5188176.204
002594.SZ,20250918,110.99,112.8,108.56,109.71,110.99,-1.28,-1.1533,934013.8,10362193.293
002594.SZ,20250917,108.2,112.0,108.2,110.99,107.8,3.19,2.9592,981239.71,10827682.692
002594.SZ,20250916,109.0,109.0,107.22,107.8,108.7,-0.9,-0.828,533160.21,5753437.964
002594.SZ,20250915,106.0,110.85,106.0,108.7,105.91,2.79,2.6343,974804.07,10620465.041
002594.SZ,20250912,106.6,107.58,105.9,105.91,106.59,-0.68,-0.638,455910.18,4859782.579
002594.SZ,20250911,105.25,106.6,104.89,106.59,105.2,1.39,1.3213,537781.49,5683446.689
002594.SZ,20250910,105.52,106.45,105.02,105.2,105.49,-0.29,-0.2749,322368.95,3401353.898
002594.SZ,20250909,106.0,107.2,105.27,105.49,106.25,-0.76,-0.7153,381636.22,4049249.507
002594.SZ,20250908,106.15,107.13,105.51,106.25,107.26,-1.01,-0.9416,555923.45,5910440.232
002594.SZ,20250905,103.86,107.5,103.11,107.26,104.0,3.26,3.1346,787523.85,8307907.948
002594.SZ,20250904,106.59,107.09,103.71,104.0,107.21,-3.21,-2.9941,815740.74,8588835.881
002594.SZ,20250903,110.5,110.73,107.01,107.21,110.02,-2.81,-2.5541,735223.27,7975948.716
002594.SZ,20250902,108.79,111.1,108.6,110.02,109.7,0.32,0.2917,773224.1,8495472.755
002594.SZ,20250901,108.5,111.48,108.5,109.7,114.06,-4.36,-3.8225,1329867.38,14546890.247
002594.SZ,20250829,108.88,116.59,108.12,114.06,109.32,4.74,4.3359,1144901.94,12973326.091
002594.SZ,20250828,109.39,110.19,107.11,109.32,110.68,-1.36,-1.2288,762521.99,8278465.956
002594.SZ,20250827,113.96,114.06,110.66,110.68,113.75,-3.07,-2.6989,689746.93,7761766.931
002594.SZ,20250826,111.75,114.69,110.71,113.75,111.61,2.14,1.9174,692915.85,7850511.029
002594.SZ,20250825,111.31,112.49,110.31,111.61,110.66,0.95,0.8585,611627.58,6803182.883
002594.SZ,20250822,107.11,110.97,107.11,110.66,107.1,3.56,3.324,763120.05,8351469.726
002594.SZ,20250821,107.8,108.83,107.0,107.1,108.25,-1.15,-1.0624,449463.78,4843670.255
002594.SZ,20250820,107.18,108.26,106.01,108.25,107.63,0.62,0.576,385053.45,4130459.252
002594.SZ,20250819,108.67,108.92,107.18,107.63,108.37,-0.74,-0.6828,389735.19,4205349.329
002594.SZ,20250818,105.66,109.49,105.66,108.37,106.07,2.3,2.1684,619251.73,6680761.816
002594.SZ,20250815,105.85,106.64,105.32,106.07,106.37,-0.3,-0.282,361353.46,3831047.052
002594.SZ,20250814,107.37,107.5,105.79,106.37,106.83,-0.46,-0.4306,419547.93,4478119.017
002594.SZ,20250813,106.29,107.65,105.84,106.83,105.67,1.16,1.0978,459830.14,4908744.877
