ts_code,trade_date,adj_factor
001221.SZ,20251231,1.0061
001221.SZ,20251230,1.0061
001221.SZ,20251229,1.0061
001221.SZ,20251226,1.0061
001221.SZ,20251225,1.0061
001221.SZ,20251224,1.0061
001221.SZ,20251223,1.0061
001221.SZ,20251222,1.0061
001221.SZ,20251219,1.0061
001221.SZ,20251218,1.0061
001221.SZ,20251217,1.0061
001221.SZ,20251216,1.0061
001221.SZ,20251215,1.0061
001221.SZ,20251212,1.0061
001221.SZ,20251211,1.0061
001221.SZ,20251210,1.0061
001221.SZ,20251209,1.0061
001221.SZ,20251208,1.0061
001221.SZ,20251205,1.0
001221.SZ,20251204,1.0
001221.SZ,20251203,1.0
001221.SZ,20251202,1.0
001221.SZ,20251201,1.0
001221.SZ,20251128,1.0
001221.SZ,20251127,1.0
001221.SZ,20251126,1.0
001221.SZ,20251125,1.0
001221.SZ,20251124,1.0
001221.SZ,20251121,1.0
001221.SZ,20251120,1.0
001221.SZ,20251119,1.0
001221.SZ,20251118,1.0
001221.SZ,20251117,1.0
001221.SZ,20251114,1.0
001221.SZ,20251113,1.0
001221.SZ,20251112,1.0
001221.SZ,20251111,1.0
001221.SZ,20251110,1.0
001221.SZ,20251107,1.0
001221.SZ,20251106,1.0
001221.SZ,20251105,1.0
001221.SZ,20251104,1.0
001221.SZ,20251103,1.0
001221.SZ,20251031,1.0
001221.SZ,20251030,1.0
001221.SZ,20251029,1.0
001221.SZ,20251028,1.0
001221.SZ,20251027,1.0
001221.SZ,20251024,1.0
001221.SZ,20251023,1.0
001221.SZ,20251022,1.0
001221.SZ,20251021,1.0
001221.SZ,20251020,1.0
001221.SZ,20251017,1.0
001221.SZ,20251016,1.0
001221.SZ,20251015,1.0
001221.SZ,20251014,1.0
001221.SZ,20251013,1.0
001221.SZ,20251010,1.0
001221.SZ,20251009,1.0
001221.SZ,20250930,1.0
001221.SZ,20250929,1.0
001221.SZ,20250926,1.0
001221.SZ,20250925,1.0
001221.SZ,20250924,1.0
001221.SZ,20250923,1.0
001221.SZ,20250922,1.0
001221.SZ,20250919,1.0
001221.SZ,20250918,1.0
001221.SZ,20250917,1.0
001221.SZ,20250916,1.0
001221.SZ,20250915,1.0
001221.SZ,20250912,1.0
001221.SZ,20250911,1.0
001221.SZ,20250910,1.0
001221.SZ,20250909,1.0
001221.SZ,20250908,1.0
001221.SZ,20250905,1.0
001221.SZ,20250904,1.0
001221.SZ,20250903,1.0
001221.SZ,20250902,1.0
001221.SZ,20250901,1.0
001221.SZ,20250829,1.0
001221.SZ,20250828,1.0
001221.SZ,20250827,1.0
001221.SZ,20250826,1.0
001221.SZ,20250825,1.0
001221.SZ,20250822,1.0
001221.SZ,20250821,1.0
001221.SZ,20250820,1.0
001221.SZ,20250819,1.0
001221.SZ,20250818,1.0
001221.SZ,20250815,1.0
001221.SZ,20250814,1.0
001221.SZ,20250813,1.0
001221.SZ,20250812,1.0
001221.SZ,20250811,1.0
001221.SZ,20250808,1.0
001221.SZ,20250807,1.0
001221.SZ,20250806,1.0
001221.SZ,20250805,1.0
001221.SZ,20250804,1.0
001221.SZ,20250801,1.0
001221.SZ,20250731,1.0
001221.SZ,20250730,1.0
