ts_code,trade_date,adj_factor
600328.SH,20251231,4.6155
600328.SH,20251230,4.6155
600328.SH,20251229,4.6155
600328.SH,20251226,4.6155
600328.SH,20251225,4.6155
600328.SH,20251224,4.6155
600328.SH,20251223,4.6155
600328.SH,20251222,4.6155
600328.SH,20251219,4.6155
600328.SH,20251218,4.6155
600328.SH,20251217,4.6155
600328.SH,20251216,4.6155
600328.SH,20251215,4.6155
600328.SH,20251212,4.6155
600328.SH,20251211,4.6155
600328.SH,20251210,4.6155
600328.SH,20251209,4.6155
600328.SH,20251208,4.6155
600328.SH,20251205,4.6155
600328.SH,20251204,4.6155
600328.SH,20251203,4.6155
600328.SH,20251202,4.6155
600328.SH,20251201,4.6155
600328.SH,20251128,4.6155
600328.SH,20251127,4.6155
600328.SH,20251126,4.6155
600328.SH,20251125,4.6155
600328.SH,20251124,4.6155
600328.SH,20251121,4.6155
600328.SH,20251120,4.6155
600328.SH,20251119,4.6155
600328.SH,20251118,4.6155
600328.SH,20251117,4.6155
600328.SH,20251114,4.6155
600328.SH,20251113,4.6155
600328.SH,20251112,4.6155
600328.SH,20251111,4.6155
600328.SH,20251110,4.6155
600328.SH,20251107,4.6155
600328.SH,20251106,4.6155
600328.SH,20251105,4.6155
600328.SH,20251104,4.6155
600328.SH,20251103,4.6155
600328.SH,20251031,4.6155
600328.SH,20251030,4.6155
600328.SH,20251029,4.6155
600328.SH,20251028,4.6155
600328.SH,20251027,4.6155
600328.SH,20251024,4.6155
600328.SH,20251023,4.6155
600328.SH,20251022,4.6155
600328.SH,20251021,4.6155
600328.SH,20251020,4.6155
600328.SH,20251017,4.6155
600328.SH,20251016,4.6155
600328.SH,20251015,4.6155
600328.SH,20251014,4.6155
600328.SH,20251013,4.6155
600328.SH,20251010,4.6155
600328.SH,20251009,4.6155
600328.SH,20250930,4.6155
600328.SH,20250929,4.6155
600328.SH,20250926,4.6155
600328.SH,20250925,4.6155
600328.SH,20250924,4.6155
600328.SH,20250923,4.6155
600328.SH,20250922,4.6155
600328.SH,20250919,4.6155
600328.SH,20250918,4.6155
600328.SH,20250917,4.6155
600328.SH,20250916,4.6155
600328.SH,20250915,4.6155
600328.SH,20250912,4.6155
600328.SH,20250911,4.6155
600328.SH,20250910,4.6155
600328.SH,20250909,4.6155
600328.SH,20250908,4.6155
600328.SH,20250905,4.6155
600328.SH,20250904,4.6155
600328.SH,20250903,4.6155
600328.SH,20250902,4.6155
600328.SH,20250901,4.6155
600328.SH,20250829,4.6155
600328.SH,20250828,4.6155
600328.SH,20250827,4.6155
600328.SH,20250826,4.6155
600328.SH,20250825,4.6155
600328.SH,20250822,4.6155
600328.SH,20250821,4.6155
600328.SH,20250820,4.6155
600328.SH,20250819,4.6155
600328.SH,20250818,4.6155
600328.SH,20250815,4.6155
600328.SH,20250814,4.6155
600328.SH,20250813,4.6155
600328.SH,20250812,4.6155
600328.SH,20250811,4.6155
600328.SH,20250808,4.6155
600328.SH,20250807,4.6155
600328.SH,20250806,4.6155
600328.SH,20250805,4.6155
600328.SH,20250804,4.6155
600328.SH,20250801,4.6155
600328.SH,20250731,4.6155
600328.SH,20250730,4.6155
600328.SH,20250729,4.6155
600328.SH,20250728,4.6155
600328.SH,20250725,4.6155
600328.SH,20250724,4.6155
600328.SH,20250723,4.6155
600328.SH,20250722,4.6155
600328.SH,20250721,4.6155
600328.SH,20250718,4.6155
600328.SH,20250717,4.6155
600328.SH,20250716,4.6155
600328.SH,20250715,4.6155
600328.SH,20250714,4.6155
600328.SH,20250711,4.6155
600328.SH,20250710,4.6155
600328.SH,20250709,4.6155
600328.SH,20250708,4.6155
600328.SH,20250707,4.6155
600328.SH,20250704,4.6155
600328.SH,20250703,4.6155
600328.SH,20250702,4.6155
600328.SH,20250701,4.6155
600328.SH,20250630,4.6155
600328.SH,20250627,4.6155
600328.SH,20250626,4.6155
600328.SH,20250625,4.6155
600328.SH,20250624,4.6155
600328.SH,20250623,4.6155
600328.SH,20250620,4.6155
600328.SH,20250619,4.6155
600328.SH,20250618,4.6155
600328.SH,20250617,4.6155
600328.SH,20250616,4.6155
600328.SH,20250613,4.6155
600328.SH,20250612,4.6155
600328.SH,20250611,4.6155
600328.SH,20250610,4.6155
