ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399001.SZ,20251231,13525.0228,13627.264,13642.5272,13491.675,13604.0673,-79.0445,-0.581,713396441.0,1215630485.9
399001.SZ,20251230,13604.0673,13466.3044,13645.556,13465.6741,13537.0962,66.9711,0.4947,716223366.0,1254792193.4
399001.SZ,20251229,13537.0962,13604.295,13650.701,13494.9567,13603.8939,-66.7977,-0.491,713871413.0,1235517815.5
399001.SZ,20251226,13603.8939,13539.049,13674.8733,13517.8044,13531.4107,72.4832,0.5357,741292909.0,1266547060.1
399001.SZ,20251225,13531.4107,13472.7044,13563.0565,13407.373,13486.4194,44.9913,0.3336,660794062.0,1139504120.0
399001.SZ,20251224,13486.4194,13378.4827,13497.0983,13347.763,13368.9896,117.4298,0.8784,640440440.0,1106339627.5
399001.SZ,20251223,13368.9896,13338.9345,13447.2869,13305.7649,13332.7313,36.2583,0.2719,674894657.0,1092987268.5
399001.SZ,20251222,13332.7313,13225.4013,13349.0815,13225.4013,13140.2144,192.5169,1.4651,653549135.0,1072183327.5
399001.SZ,20251219,13140.2144,13116.1869,13217.4356,13070.7252,13053.9744,86.24,0.6606,657127412.0,987848687.1
399001.SZ,20251218,13053.9744,13112.6116,13205.2226,13053.9744,13224.5136,-170.5392,-1.2896,590116206.0,950587343.4
399001.SZ,20251217,13224.5136,12927.3938,13254.8091,12927.3938,12914.6679,309.8457,2.3992,653501696.0,1044325059.3
399001.SZ,20251216,12914.6679,13084.8765,13113.9872,12851.2217,13112.0887,-197.4208,-1.5056,664521844.0,990879111.8
399001.SZ,20251215,13112.0887,13150.4323,13244.0339,13111.3783,13258.3281,-146.2394,-1.103,627285731.0,1008834668.2
399001.SZ,20251212,13258.3281,13174.4472,13284.2718,13085.4242,13147.3871,110.941,0.8438,700998215.0,1182255359.7
399001.SZ,20251211,13147.3871,13333.2922,13388.2645,13147.3871,13316.424,-169.0369,-1.2694,705369906.0,1092762489.9
399001.SZ,20251210,13316.424,13251.2659,13344.851,13126.2079,13277.3627,39.0613,0.2942,676290971.0,1048145055.5
399001.SZ,20251209,13277.3627,13295.622,13398.2486,13227.7749,13329.9903,-52.6276,-0.3948,688045902.0,1122792903.3
399001.SZ,20251208,13329.9903,13178.9565,13389.6727,13178.9565,13147.6769,182.3134,1.3867,729089825.0,1197207361.4
399001.SZ,20251205,13147.6769,13020.2872,13164.4842,12938.349,13006.7169,140.96,1.0837,669303064.0,1009028858.3
399001.SZ,20251204,13006.7169,12957.8036,13042.9555,12881.56,12955.2534,51.4635,0.3972,634198084.0,925247252.3
399001.SZ,20251203,12955.2534,13071.1572,13126.6706,12922.6751,13056.7009,-101.4475,-0.777,691706046.0,1022795744.7
399001.SZ,20251202,13056.7009,13130.0724,13132.8065,13011.1072,13146.7162,-90.0153,-0.6847,643851126.0,965989590.3
399001.SZ,20251201,13146.7162,13038.156,13149.3978,12993.8872,12984.0808,162.6354,1.2526,694440764.0,1088279479.8
399001.SZ,20251128,12984.0808,12869.6609,13000.0653,12834.0845,12875.1949,108.8859,0.8457,611391068.0,940040409.3
399001.SZ,20251127,12875.1949,12903.911,13082.7703,12863.259,12907.8335,-32.6386,-0.2529,637558377.0,1011274506.7
399001.SZ,20251126,12907.8335,12769.927,13012.3282,12749.0194,12777.3128,130.5207,1.0215,686733778.0,1082326611.5
399001.SZ,20251125,12777.3128,12692.0893,12882.8068,12684.294,12585.0844,192.2284,1.5274,699842030.0,1089358574.5
399001.SZ,20251124,12585.0844,12605.1311,12655.293,12448.32,12538.071,47.0134,0.375,689953294.0,1012234281.7
399001.SZ,20251121,12538.071,12752.7224,12812.375,12538.071,12980.8183,-442.7473,-3.4108,811578932.0,1140729557.3
399001.SZ,20251120,12980.8183,13215.0657,13226.0358,12970.5575,13080.086,-99.2677,-0.7589,673147680.0,996847443.3
399001.SZ,20251119,13080.086,13071.9397,13164.9669,13009.0088,13080.4886,-0.4026,-0.0031,695235913.0,1004999694.8
399001.SZ,20251118,13080.4886,13161.7044,13223.1218,13022.4436,13202.0045,-121.5159,-0.9204,788847182.0,1135119123.8
399001.SZ,20251117,13202.0045,13200.5432,13251.7755,13137.2809,13216.0314,-14.0269,-0.1061,748687700.0,1105057953.1
399001.SZ,20251114,13216.0314,13323.4513,13394.0632,13216.0314,13476.5213,-260.4899,-1.9329,769416240.0,1120109421.3
399001.SZ,20251113,13476.5213,13228.5012,13488.6308,13222.7805,13240.6158,235.9055,1.7817,748084542.0,1165561187.9
399001.SZ,20251112,13240.6158,13240.703,13312.5295,13120.7121,13289.005,-48.3892,-0.3641,731002669.0,1104567011.9
399001.SZ,20251111,13289.005,13476.2453,13493.1673,13271.6749,13427.6123,-138.6073,-1.0323,733580236.0,1135223894.9
399001.SZ,20251110,13427.6123,13453.3662,13502.1644,13306.6617,13404.0556,23.5567,0.1757,757097253.0,1213865329.7
399001.SZ,20251107,13404.0556,13380.3536,13496.6966,13322.6095,13452.4168,-48.3612,-0.3595,700567747.0,1123566510.5
399001.SZ,20251106,13452.4168,13272.4663,13468.4012,13272.4663,13223.5593,228.8575,1.7307,708963302.0,1124972130.2
399001.SZ,20251105,13223.5593,12953.8414,13273.2351,12953.8414,13175.2208,48.3385,0.3669,702201489.0,1045207672.2
399001.SZ,20251104,13175.2208,13373.5505,13399.9241,13094.2146,13404.0636,-228.8428,-1.7073,682919687.0,1062819659.0
399001.SZ,20251103,13404.0636,13364.4188,13404.0636,13158.3065,13378.2118,25.8518,0.1932,716885878.0,1165427053.0
399001.SZ,20251031,13378.2118,13517.174,13618.1507,13378.2118,13532.1259,-153.9141,-1.1374,745760929.0,1286687778.0
399001.SZ,20251030,13532.1259,13661.6093,13700.2517,13509.2418,13691.3829,-159.257,-1.1632,773249172.0,1351618220.9
399001.SZ,20251029,13691.3829,13484.0129,13691.3829,13475.6476,13430.1031,261.2798,1.9455,730709746.0,1287814408.5
399001.SZ,20251028,13430.1031,13411.6676,13572.9047,13375.3224,13489.4032,-59.3001,-0.4396,682532175.0,1207098813.7
399001.SZ,20251027,13489.4032,13448.9151,13510.7081,13346.8121,13289.1841,200.2191,1.5066,724022532.0,1296727492.3
399001.SZ,20251024,13289.1841,13091.3369,13289.1841,13091.3369,13025.4461,263.738,2.0248,652544989.0,1115717842.8
399001.SZ,20251023,13025.4461,12959.4151,13042.3357,12803.8567,12996.6083,28.8378,0.2219,614713854.0,924978490.0
399001.SZ,20251022,12996.6083,12985.9621,13078.6432,12932.0116,13077.3164,-80.7081,-0.6172,593388177.0,926331521.7
399001.SZ,20251021,13077.3164,12880.1659,13100.0821,12848.3172,12813.2077,264.1087,2.0612,635613699.0,1035955935.7
399001.SZ,20251020,12813.2077,12877.6999,12948.3188,12742.8379,12688.936,124.2717,0.9794,582877735.0,965101984.8
399001.SZ,20251017,12688.936,13060.2417,13091.7593,12677.4379,13086.4092,-397.4732,-3.0373,667473474.0,1064934758.2
399001.SZ,20251016,13086.4092,13064.2579,13218.1656,13033.3715,13118.7542,-32.345,-0.2466,630427149.0,1061873251.7
399001.SZ,20251015,13118.7542,12919.2693,13123.2813,12817.8881,12895.1076,223.6466,1.7344,664972504.0,1111306358.1
399001.SZ,20251014,12895.1076,13369.5606,13405.5088,12844.0241,13231.4656,-336.358,-2.5421,781349621.0,1366249533.9
399001.SZ,20251013,13231.4656,12837.2507,13256.5132,12837.2507,13355.4185,-123.9529,-0.9281,742486461.0,1269327032.0
399001.SZ,20251010,13355.4185,13633.1868,13644.5129,13304.6013,13725.5569,-370.1384,-2.6967,780098601.0,1383486987.4
399001.SZ,20251009,13725.5569,13598.3534,13806.6929,13565.2944,13526.5091,199.0478,1.4715,796986885.0,1436308100.0
399001.SZ,20250930,13526.5091,13504.6471,13598.1775,13460.3194,13479.4278,47.0813,0.3493,658434832.0,1208135877.2
399001.SZ,20250929,13479.4278,13248.1977,13531.9771,13239.7274,13208.9965,270.4313,2.0473,675803476.0,1193249093.9
399001.SZ,20250926,13208.9965,13394.7858,13453.8555,13205.6285,13445.8956,-236.8991,-1.7619,694451360.0,1219020556.2
399001.SZ,20250925,13445.8956,13333.0187,13529.3262,13295.5301,13356.1428,89.7528,0.672,740441209.0,1369878819.5
399001.SZ,20250924,13356.1428,13037.0774,13356.1428,13009.6427,13119.817,236.3258,1.8013,727766642.0,1311076087.4
399001.SZ,20250923,13119.817,13246.9324,13267.9042,12875.3253,13157.9738,-38.1568,-0.29,860542093.0,1422684457.0
399001.SZ,20250922,13157.9738,13119.8267,13157.9738,13006.3557,13070.863,87.1108,0.6665,722197293.0,1179682689.1
399001.SZ,20250919,13070.863,13074.9051,13182.6014,13016.0648,13075.6584,-4.7954,-0.0367,819563965.0,1307481075.6
399001.SZ,20250918,13075.6584,13161.1545,13328.1008,12915.9743,13215.4566,-139.7982,-1.0578,1073527790.0,1769195248.8
